CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
5819,ASTRAL,COLEÇÃO 2025,OFF WHITE,HOT,HOT STAMPING,17/09/2024,100,1500,15
7226,MELISSA,COLEÇÃO 2025,CASA DAS ABELHAS,HOT,HOT STAMPING,17/09/2024,225,740,3.29
7233,MELISSA,COLEÇÃO 2025,CASA DAS ABELHAS,HOT,HOT STAMPING,17/09/2024,600,740,1.23
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,23/09/2024,362,450,1.24
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,23/09/2024,62,136.40,2.20
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,23/09/2024,1050,649.95,0.62
,COLEÇÃO 2025,COLEÇÃO 2025,G2/G3/G4,LAMINAÇÃO,LAM. FOSCA FR,23/09/2024,6670,3321.66,0.50
548,MELISSA,COLEÇÃO 2023,COLMEIA,LAMINAÇÃO,LAM. FOSCA FR,02/01/2023,1950,429,0.22
548,MELISSA,COLEÇÃO 2023,COLMEIA,VERNIZ,VERNIZ LOCALIZADO,02/01/2023,1950,399.75,0.21
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,02/01/2023,1,185,185
548,MELISSA,COLEÇÃO 2023,COLMEIA,HOT,HOT STAMPING,02/01/2023,1950,2574,1.32
609,MELISSA,COLEÇÃO 2023,CAMINHO DAS ABELHAS,LAMINAÇÃO,LAM. FOSCA FR,02/01/2023,1600,464,0.29
609,MELISSA,COLEÇÃO 2023,CAMINHO DAS ABELHAS,VERNIZ,VERNIZ LOCALIZADO,02/01/2023,1600,328,0.21
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,02/01/2023,1,185,185
609,MELISSA,COLEÇÃO 2023,CAMINHO DAS ABELHAS,HOT,HOT STAMPING,02/01/2023,1600,352,0.22
,COLEÇÃO 2023,COLEÇÃO 2023,COLEÇÃO RIO/ONÇA PRETO/OCEANO PROFUNDO,LAMINAÇÃO,LAM. HIGH TECH,02/01/2023,355,460,1.30
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,02/01/2023,20,72,3.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,02/01/2023,228,460,2.02
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,02/01/2023,650,340,0.52
,FRESCOR 2023,FRESCOR 2023,PASTEL BLOCK,LAMINAÇÃO,LAM. FOSCA FR,02/09/2023,1000,499,0.50
,FRESCOR 2023,FRESCOR 2023,PASTEL BLOCK,LAMINAÇÃO,LAM. FOSCA FR,02/09/2023,4150,2286.65,0.55
,FRESCOR 2023,FRESCOR 2023,BRISA ROMANCE/ FLORAL/PASTEL BLOCK,LAMINAÇÃO,LAM. FOSCA FR,02/09/2023,5800,3590.20,0.62
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,02/09/2023,55,88,1.60
,OCEANO,COLEÇÃO 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,02/09/2023,55,88,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,02/09/2023,138,360,2.61
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,02/09/2023,220,460,2.09
2290,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,750,675,0.90
2320,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,700,450,0.64
2368,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,1100,462,0.42
2306,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,1260,529.20,0.42
2313,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,1250,612.50,0.49
2283,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,720,380,0.53
2351,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,700,490,0.70
2375,PASTEL BLOCK,FRESCOR 2023,SPORT,HOT,HOT STAMPING,16/02/23,550,660,1.20
2269/225,FRESCOR 2023,FRESCOR 2023,ORGANIZADORES,LAMINAÇÃO,LAM. FOSCA FR,16/02/23,1350,835.65,0.62
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,04/01/2023,210,460,2.19
,FRESCOR 2023,FRESCOR 2023,ORGANIZADORES,LAMINAÇÃO,LAM. FOSCA FR,04/01/2023,44,70.40,1.60
