TRABALHO,QUANTIDADE,ID,COLECAO,SERVICO_GERAL,NF_REFERENCIA,DATA,PRECO_TOTAL,PRECO_UNIT
"Lâminas - COLEÇÃO 2026 (C06) - CINTA. 481x640mm, 4x0 cores, Couche Brilho 170g - 1400 unid - R$ 1.155,00",1400,,COLEÇÃO 2026,CINTA,,08/07/2025,1155,0.83
"Lâminas - COLEÇÃO 2026 (C07) - CINTA. 492x688mm, 4x0 cores, Couche Brilho 170g - 1350 unid - R$ 1.155,00",1350,,COLEÇÃO 2026,CINTA,,08/07/2025,1155,0.86
"Lâminas - COLEÇÃO 2026 (C08) - CINTA. 483x695mm, 4x0 cores, Couche Brilho 170g - 1750 unid - R$ 1.240,00",1750,,COLEÇÃO 2026,CINTA,,08/07/2025,1240,0.71
"Lâminas - COLEÇÃO 2026 (C09) - CINTA. 481x680mm, 4x0 cores, Couche Brilho 170g - 2950 unid - R$ 1.410,00",2950,,COLEÇÃO 2026,CINTA,,08/07/2025,1410,0.48
"Lâminas - COLEÇÃO 2026 (C10) - CINTA. 481x681mm, 4x0 cores, Couche Brilho 170g - 2300 unid - R$ 1.325,00",2300,,COLEÇÃO 2026,CINTA,,08/07/2025,1325,0.58
"Lâminas - COLEÇÃO 2026 (C11) - CINTA. 481x681mm, 4x0 cores, Couche Brilho 170g - 2250 unid - R$ 1.325,00",2250,,COLEÇÃO 2026,CINTA,,08/07/2025,1325,0.59
"Lâminas - CINTA SCRITURA - COLEÇÃO 2026 - (S01). 440x575mm, 4x0 cores, em Scritura 130g - 2000 unid - R$ 1.240,00",2000,,COLEÇÃO 2026,CINTA,,09/07/2025,1240,0.62
"Lâminas - CINTA SCRITURA - COLEÇÃO 2026 - (S02). 439x625mm, 4x0 cores, em Scritura 130g - 1600 unid - R$ 1.240,00",1600,,COLEÇÃO 2026,CINTA,,09/07/2025,1240,0.78
"Lâminas - CINTA SCRITURA - COLEÇÃO 2026 - (S03). 440x580mm, 4x0 cores, em Scritura 130g - 1300 unid - R$ 1.155,00",1300,,COLEÇÃO 2026,CINTA,,09/07/2025,1155,0.89
"Lâminas - CINTA SCRITURA - COLEÇÃO 2026 - (S04). 440x604mm, 4x0 cores, em Scritura 130g - 1300 unid - R$ 1.155,00",1300,,COLEÇÃO 2026,CINTA,,09/07/2025,1155,0.89
"Lâminas - COLEÇÃO 2026 (C01) - CINTA. 670x450mm, 4x0 cores, em Couche Brilho 170g",1250,,COLEÇÃO 2026,CAPAS,,16/06/2025,1155,0.92
"Lâminas - COLEÇÃO 2026 (C02) - CINTA. 686x469mm, 4x0 cores, em Couche Brilho 170g",1500,,COLEÇÃO 2026,CAPAS,,16/06/2025,1155,0.77
"Lâminas - COLEÇÃO 2026 (C03) - CINTA. 690x423mm, 4x0 cores, em Couche Brilho 170g",2400,,COLEÇÃO 2026,CAPAS,,16/06/2025,1325,0.55
"Lâminas - GUARDA PERSONALIZADA BRZ. 590x430mm, 2x0 cores, em Off-set 120g",150,,PERSONALIZADO,GUARDA,,23/06/2025,761,5.07
"Lâmina - Régua caderno organizador (folha de máquina) 500x442, 1x0 -  cor, em supremo 250g fornecido . CTP incluso -  R$ 1.100,00",1000,,,REGUA,,30/05/2025,1100,1.10
"Lâmina - Coleção melissa (94/J4) 438x580mm, 4/1 cores, em Couchê Brilho 170g - 2000 unid =  1760,00",2000,,LINHA 2025,CAPAS,,13/05/2025,1760,0.88
"Lâmina - Personalizado Impa 1. 43x59cm / 4/0 /  couchê 250g - 400 unid = 1070,00",400,,PERSONALIZADO,CAPAS,,28/04/2025,1070,2.68
"Lâmina - Personalizado Impa 2. 43x59cm / 4/0 /  couchê 250g - 200 unid =  1070,000",200,,PERSONALIZADO,CAPAS,,28/04/2025,1070,5.35
"Lâmina - Notas Mix Preto - 595x430mm, 2/0 Couchê 250g - R$ 1070,00",1000,,LINHA 2025,CAPAS,,26/03/2025,1070,1.07
"Lâmina - Cinta coleção 2025 (C21) - 468x686 4/0 Couchê 170g - R$ 1070,00",1000,,LINHA 2025,CINTA,,24/03/2025,1070,1.07
"Lâmina - Cinta coleção 2025 (C22) - 481x680 4/0 Couchê 170g - R$ 1070,00",1000,,LINHA 2025,CINTA,,24/03/2025,1070,1.07
"Lâmina - Cinta coleção 2025 (C23) - 462x680 4/0 Couchê 170g - R$ 1070,00",1000,,LINHA 2025,CINTA,,24/03/2025,1070,1.07
"Lâmina - Cinta coleção 2025 (C24) - 490x699 4/0 Couchê 170g - R$ 1070,00",1000,,LINHA 2025,CINTA,,24/03/2025,1070,1.07
"Lâmina - Cinta coleção 2025 (C25) - 370x610 4/0 Couchê 170g - R$ 1070,00",1000,,LINHA 2025,CINTA,,24/03/2025,1070,1.07
"Lâmina - Cinta coleção 2025 (S8) - 440x610 4/0 Couchê 170g - R$ 1070,00",1000,,LINHA 2025,CINTA,,24/03/2025,1070,1.07
"Lâmina -  Coleção 2025 (85/I5) Melissa - 492x644mm, 4/1 Couchê 170g - R$ 1605,00",1500,,POCKET 2025,CAPAS,,28/02/2025,1605,1.07
"Lâmina -  Coleção 2025 (86/I6) Melissa - 488x652mm, 4/1 Couchê 170g - R$ 1430,00",650,,POCKET 2025,CAPAS,,28/02/2025,1430,2.20
"Lâmina -  Coleção 2025 (87/I7) - 440x595mm, 4/0 Couchê 250g - R$ 1070,00",650,,POCKET 2025,CAPAS,,28/02/2025,1070,1.65
"Lâmina -  Coleção 2025 (88) - 492x644mm, 4/1 Couchê 170g - R$ 1605,00",1500,,POCKET 2025,CAPAS,,28/02/2025,1605,1.07
"Lâmina -  Coleção Pocket 2025 (90/J0) - 488x697mm, 4/1 Couchê 170g - R$ 1430,00",550,,POCKET 2025,CAPAS,,28/02/2025,1430,2.60
"Lâmina -  Coleção Pocket 2025 (91/J1) - 450x578mm, 4/1 Couchê 170g - R$ 1430,00",550,,POCKET 2025,CAPAS,,28/02/2025,1430,2.60
"Lâmina -  Coleção Pocket 2025 (92/J2) - 492x640mm, 4/1 Couchê 170g - R$ 1430,00",550,,POCKET 2025,CAPAS,,28/02/2025,1430,2.60
"Lâmina -  Coleção Pocket 2025 (93/J3) - 410x572mm, 4/1 Couchê 170g - R$ 1430,00",550,,POCKET 2025,CAPAS,,28/02/2025,1430,2.60
"COLECAO 2025 FRESCOR (72 / H2) - 494x650mm, 4x1 cores, em couchê brilho 170g // 2.000 unid // R$ 1.600,00",2000,,FRESCOR 2025,CAPAS,,06/01/2025,1600,0.80
"COLECAO 2025 FRESCOR (73 / H3) - 485x650mm, 4x1 cores, em couchê brilho 170g // 1.000 unid // R$ 1.330,00",1000,,FRESCOR 2025,CAPAS,,06/01/2025,1330,1.33
"COLECAO 2025 FRESCOR (76 / H6) - 456x595mm, 4x1 cores, em couchê brilho 170g // 1.500 unid // R$ 1.470,00",1500,,FRESCOR 2025,CAPAS,,06/01/2025,1470,0.98
"COLECAO 2025 FRESCOR /  Notas Mix - Revista  / (84 / I4) - 430x595mm, 4x0 cores, em couchê brilho 250g // 1.000 unid // R$ 1.030,00",1000,,FRESCOR 2025,CAPAS,,06/01/2025,1030,1.03
"COLECAO 2025 FRESCOR (81 / H1) - 492x650mm, 4x1 cores, em couchê brilho 170g // 1.500 unid // R$ 1.470,00",1500,,FRESCOR 2025,CAPAS,,06/01/2025,1470,0.98
"COLECAO 2025 FRESCOR (83 / H3) - 438x590mm, 4x1 cores, em couchê brilho 170g // 1.500 unid // R$ 1.470,00",1500,,FRESCOR 2025,CAPAS,,06/01/2025,1470,0.98
"COLECAO 2025 FRESCOR. 479x660mm, 4x1 cores, em Couche Brilho 170g  //  1.500 unid  // R$ 1.470,00",1500,,FRESCOR 2025,CAPAS,,27/12/2024,1470,0.98
"COLECAO 2025 FRESCOR. 494x650mm, 4x1 cores, em Couche Brilho 170g  //  1.500 unid  // R$ 1.470,00",1500,,FRESCOR 2025,CAPAS,,27/12/2024,1470,0.98
"COLECAO 2025 FRESCOR. 438x600mm, 4x1 cores, em Couche Brilho 170g  //  1.500 unid  // R$ 1.470,00",1500,,FRESCOR 2025,CAPAS,,27/12/2024,1470,0.98
"COLECAO 2025 FRESCOR. 380x580mm, 4x1 cores, em Couche Brilho 170g  //  1.000 unid  // R$ 1.330,00",1000,,FRESCOR 2025,CAPAS,,27/12/2024,1330,1.33
"PERSONALIZADO TOK STOK DIVISÓRIAS. 158x210mm, 4x0 cores, em Offset 240g  //  14.400 unid  // R$ 8.208,00",14400,,PERSONALIZADO,DIVISÓRIAS,,26/12/2024,8208,0.57
"PERSONALIZADO TOK STOK BOLSA. 296x310mm, 4x4 cores, em Scritura 130g  //  1.500 unid  // R$ 4.800,00",1500,,PERSONALIZADO,BOLSA PASTA,,26/12/2024,4800,3.20
"PERSONALIZADO TOK STOK FORRO. 391x222mm, 4x0 cores, em Scritura 130g  //  1.360 unid  // R$ 1.080,00",1360,,PERSONALIZADO,FORRO,,26/12/2024,1080,0.79
"Lâminas - Coleção 2025 - 66 (G6) - Melissa, 438x60, 4x1 cores, em Couche Brilho 170g fornecido. CTP incluso. - 650 unid / R$ 1330,00",650,,LINHA 2025,CAPAS,,12/12/2024,1330,2.05
"Lâminas - Coleção 2025 - 67(G7) - Melissa+Bossa. 492x647mm, 4x1 cores, em Couche Brilho 170g fornecido. CTP incluso. - 2000 unid / R$ 1600,00",2000,,LINHA 2025,CAPAS,,12/12/2024,1600,0.80
"Lâminas - Coleção 2025 - 68(G8) - Melissa. 492x640mm, 4x1 cores, em Couche Brilho 170g fornecido. CTP incluso. - 1000 unid / R$ 1330,00",1000,,LINHA 2025,CAPAS,,12/12/2024,1330,1.33
"Lâminas - Coleção 2025 - 69(G9) - Melissa. 602x446mm, 4x1 cores, em Couche Brilho 170g fornecido. CTP incluso. - 1500 unid / R$ 1470,00",1500,,LINHA 2025,CAPAS,,12/12/2024,1470,0.98
"Lâminas - Coleção 2025 - 70(G0) - Melissa 41x5SOmm, 4x1 cores, em Couche Brilho 170g fornecido. CTP incluso. - 1500 unid / R$ 1470,00",1500,,LINHA 2025,CAPAS,,12/12/2024,1470,0.98
"Lâminas - Coleção 2025 - 71(H1) - Melissa 488x600mm, 4xl cores, em Couche Brilho 170g fornecido. CTP incluso. - 1000 unid / R$ 1330,00",1000,,LINHA 2025,CAPAS,,12/12/2024,1330,1.33
"PERSONALIZADO HANZO. 430x590mm, 4x0 cores, em Couche Brilho 250g  //  300 unid  // R$ 1030,00",300,,PERSONALIZADO,CAPAS,,11/12/2024,1030,3.43
"PERSONALIZADO - KINCAID. 430x590mm, 4x0 cores, em Couche Brilho 250 // 600 unid  // R$ 1030,00",600,,PERSONALIZADO,CAPAS,,11/12/2024,1030,1.72
"PERSONALIZADO - KINCAID f CADERNETA. 497x654mm, 4x1 cores, em Couche 170g // 700 unid  // 1330,00",700,,PERSONALIZADO,CAPAS,,11/12/2024,1330,1.90
"Laminas - CINTA CADERNETA (SS). 440x608mm, 4x0 cores, em Scritura 130g // 2000 UNID // 1140,00",2000,,LINHA 2025,CINTA,,28/11/2024,1140,0.57
"Laminas - CINTA REFIL + CADERNO. 465x692mm, 4xo cores, em Couche Brilho 170g // 2500 // 1225,00",2500,,LINHA 2025,CINTA,,28/11/2024,1225,0.49
"Laminas - CINTA REFIL + PLANNER 6).481 x692mm, 4xo cores, em Couche Brilho 170g // 1500 // 1080,00",1500,,LINHA 2025,CINTA,,28/11/2024,1080,0.72
"Laminas - CINTA FICHÅRIO + ORGANIZADOR. 474x679mm, 4xo cores, em Couche Brilho 170g // 3000 // 1290,00",3000,,LINHA 2025,CINTA,,28/11/2024,1290,0.43
