TRABALHO,QUANTIDADE,ID,COLECAO,SERVICO_GERAL,NF_REFERENCIA,DATA,PRECO_TOTAL,PRECO_UNIT
CALENDARIO DE MESA POLEN,6800,,DATADOS 2024,MIOLO + CAPA,2522,17/07/2023,14824,2.18
REVISTAS 9X13,10000,,PERSONALIZADO,CAPAS,2526,24/07/2023,2900,0.29
PLANNER BLOCO PASSAROS,2100,,LINHA 2024,SEMI-PRONTOS,2531,02/08/2023,4284,2.04
PLANNER BLOCO PASSAROS,1600,,LINHA 2024,SEMI-PRONTOS,2536,07/08/2023,3920,2.45
PLANNER BLOCO JOIA NATURAL,1400,,LINHA 2024,SEMI-PRONTOS,2537,07/08/2023,3584,2.56
CALENDARIO DE PAREDE JOIA NATURAL + ASTRAL,5300,,DATADOS 2024,MIOLO + CAPA,2538,10/08/2023,19345,3.65
BOLSA A5,25000,,,BOLSA,2576,24/10/2023,1575,0.06
BOLSA 17X24,15000,,,BOLSA,2576,24/10/2023,1590,0.11
ADESIVO CADERNO ORGANIZADOR A5 E 17X24,14000,,,ADESIVOS,2598,21/11/2023,6300,0.45
REFIL LINHAS BRANCAS,1240,8507,,SEMI-PRONTOS,2603,28/11/2023,1736,1.40
DIVISÓRIAS FICHÁRIO 17X24 1/1,24500,ITEM 56,,DIVISÓRIAS,2605,30/11/2023,20139,0.82
DIVISÓRIAS PLANNER PERSONALIZADA(12 ABAS),2400,,PERSONALIZADO,DIVISÓRIAS,2606,30/11/2023,6480,2.70
BOLSA A5 PERSONALIZADA,200,,PERSONALIZADO,BOLSA,2606,30/11/2023,1208,6.04
MIOLO CADERNO ORGANIZADOR 17X24,14000,ITEM 84,,MIOLOS,2621,19/12/2023,27160,1.94
DIVISÓRIAS MELISSA AGENDA FICHÁRIO A5,1500,,,DIVISÓRIAS,2625,22/12/2023,6405,4.27
CAPAS PERSONALIZADO,100,,PERSONALIZADO,CAPAS,2656,23/01/2024,1400,14.00
CAPAS PERSONALIZADO,500,,PERSONALIZADO,CAPAS,2657,23/01/2024,1330,2.66
DIVISÓRIAS PLANNER 1/1(12 ABAS),4000,ITEM 59,,DIVISÓRIAS,2660,25/01/2024,5952,1.49
DIVISÓRIAS PLANNER 4/4(12 ABAS),6000,ITEM 58,,DIVISÓRIAS,2661,25/01/2024,9936,1.66
CHAPA JAN 24.01,1200,,FRESCOR,CAPAS,2663,26/01/2024,1470,1.23
CHAPA JAN 24.02,2300,,FRESCOR,CAPAS,2663,26/01/2024,1750,0.76
CHAPA JAN 24.03,2300,,FRESCOR,CAPAS,2663,26/01/2024,1750,0.76
CHAPA JAN 24.04,2800,,FRESCOR,CAPAS,2663,26/01/2024,1890,0.68
CHAPA JAN 24.05,1200,,FRESCOR,CAPAS,2663,26/01/2024,1470,1.23
CHAPA JAN 24.06,1000,,MELISSA,CAPAS,2668,31/01/2024,1330,1.33
CHAPA JAN 24.07,1000,,MELISSA,CAPAS,2668,31/01/2024,1330,1.33
CHAPA JAN 24.08,1000,,MELISSA,CAPAS,2668,31/01/2024,1330,1.33
MIOLO FICHÁRIO 17X24,10000,ITEM 52,,MIOLOS,2673,02/02/2024,14200,1.42
BOLSA A5,15000,,,BOLSA,2674,02/02/2024,1650,0.11
BOLSA 17X24,25000,,,BOLSA,2674,02/02/2024,1625,0.07
CINTAS COLEÇÃO FRESCOR,720,,FRESCOR,CINTAS,2679,06/02/2024,1030,1.43
DIVISÓRIAS FICHÁRIO PERSONALIZADA(4 ABAS),160,,PERSONALIZADO,DIVISÓRIAS,2685,07/02/2024,3520,22.00
LAMINA INFORMATIVA CADERNO ORGANIZADOR A5,11200,,,LAMINA INFORMATIVA,2689,19/02/2024,1064,0.10
LAMINA INFORMATIVA CADERNO ORGANIZADOR 17X24,13700,,,LAMINA INFORMATIVA,2689,19/02/2024,1274.10,0.09
ADESIVO FICHARIO E PLANNER WIRE-O A5,20000,,,ADESIVOS,2691,20/02/2024,8980,0.45
ADESIVO MELISSA FICHARIO E PLANNER WIRE-O A5,8000,,,ADESIVOS,2692,20/02/2024,4400,0.55
REGUA DO CADERNO ORGANIZADOR A5 E 17X24,1000,,,REGUA,2698,26/02/2024,1030,1.03
MIOLO FICHÁRIO A5,10070,ITEM 86,,MIOLOS,2712,04/03/2024,13091,1.30
ADESIVO CADERNO ORGANIZADOR A5 E 17X24,14000,,,ADESIVOS,2713,04/03/2024,6650,0.48
MARCA PAGINA,10000,,,MARCA PAGINA,2714,04/03/2024,1800,0.18
CHAPA 82,600,,FRESCOR,CAPAS,2717,07/03/2024,1330,2.22
CHAPA MELISSA MAR.24,1000,,MELISSA,CAPAS,2718,07/03/2024,1330,1.33
CHAPA MELISSA MAR.24,1000,,MELISSA,CAPAS,2718,07/03/2024,1330,1.33
CHAPA MELISSA MAR.24,1000,,MELISSA,CAPAS,2718,07/03/2024,1330,1.33
DIVISÓRIAS MELISSA FICHÁRIO A5 E CADERNO ORGANIZADOR A5,4340,,,DIVISÓRIAS,2722,11/03/2024,5381.60,1.24
NOTAS MIX PRETO,1000,,,CAPAS,2726,13/03/2024,1030,1.03
CAPAS PERSONALIZADO,1100,,PERSONALIZADO,CAPAS,2726,13/03/2024,1080,0.98
CAPAS PERSONALIZADO,550,,PERSONALIZADO,CAPAS,2726,13/03/2024,1030,1.87
CHAPA MELISSA MAR.24,1000,,LINHA 2024,CAPAS,2726,13/03/2024,1330,1.33
CHAPA MEU PEQUENO CICERO,250,,LINHA 2024,CAPAS,2726,13/03/2024,380,1.52
DIVISÓRIAS PERSONALIZADO,3250,,PERSONALIZADO,DIVISÓRIAS,2731,15/03/2024,3705,1.14
ADESIVOS PERSONALIZADO,250,,PERSONALIZADO,ADESIVOS,2732,15/03/2024,1665,6.66
ADESIVOS PERSONALIZADO,110,,PERSONALIZADO,ADESIVOS,2733,19/03/2024,1661,15.10
MIOLO CADERNO WIRE-O 17X24 + BOLSA,10000,ITEM 61,,MIOLO + BOLSA,2739,27/03/2024,17200,1.72
MIOLO KIT PLANNER WIRE-O,10000,ITEM 50,,MIOLOS,2740,27/03/2024,22100,2.21
CAPAS CADERNO DO BEBE,1500,,BEBE 2024,CAPAS,2741,27/03/2024,1470,0.98
LUVAS  CADERNO DO BEBE,5000,,BEBE 2024,LUVAS,2741,27/03/2024,2450,0.49
CINTAS CADERNO DO BEBE,580,,BEBE 2024,CINTAS,2741,27/03/2024,1030,1.78
MIOLO CADERNO ORGANIZADOR A5,7072,ITEM 83,,MIOLOS,2792,25/04/2024,11103.44,1.57
DIVISÓRIAS A5 4/4,10936,,,DIVISÓRIAS,2804,14/05/2024,7830.18,0.72
CAPAS PERSONALIZADO,550,,PERSONALIZADO,CAPAS,2809,16/05/2024,1030,1.87
CINTAS REFIL,1100,,,CINTAS,2820,29/05/2024,1080,0.98
A1,1300,,LINHA 2025,CAPAS,2828,13/06/2024,1470,1.13
A2,2400,,LINHA 2025,CAPAS,2828,13/06/2024,1750,0.73
A3,1700,,LINHA 2025,CAPAS,2828,13/06/2024,1600,0.94
A7,1800,,LINHA 2025,CAPAS,2828,13/06/2024,1600,0.89
B1,1500,,LINHA 2025,CAPAS,2828,13/06/2024,1470,0.98
BOLSA A6,10200,,,BOLSA,2830,13/06/2024,999.6,0.10
BOLSA A5,25300,,,BOLSA,2830,13/06/2024,1644.50,0.07
DIVISÓRIAS PLANNER MELISSA(12 ABAS),4838,,,DIVISÓRIAS,2831,14/06/2024,12191.76,2.52
A4,1600,,DATADOS 2025,CAPAS,2832,17/06/2024,1600,1.00
