CODIGO,COD_REDUZIDO,PRODUTO,FAMILIA,STATUS,TOTAL
7898925922568,2568,Caderno Kraft Sem Pauta 20x20 Kraft,KRAFT,Ativo,3180
7898925922575,2575,Caderno Kraft Sem Pauta 21x28 Kraft,KRAFT,Ativo,2250
7899866827165,7165,Caderno Organizador Astral Pautado & Pontado 17x24 Eclipse Preto,ASTRAL,Lançamento,1765
7899866827172,7172,Caderno Organizador Astral Pautado & Pontado A5 Maré Off White,ASTRAL,Lançamento,1590
7899866825567,5567,Caderno Organizador Bossa Nova Pautado & Pontado A5 Boemia,BOSSA NOVA,Ativo,920
7899866827189,7189,Caderno Organizador Bossa Nova Pautado & Pontado 17x24 Pontos Azul,BOSSA NOVA,Lançamento,910
7899866823181,3181,Caderno Organizador Clássica Pautado & Pontado A5 Caramelo,CLASSICA,Ativo,1495
7899866823129,3129,Caderno Organizador Clássica Pautado & Pontado 17x24 Preta,CLASSICA,Ativo,1560
7899866827196,7196,Caderno Organizador Ateliê Pautado & Pontado A5 Preto,ATELIE,Lançamento,1070
7899866827202,7202,Caderno Organizador Ateliê Pautado & Pontado 17x24 Off White,ATELIE,Lançamento,1135
7899866827356,7356,Planner Permanente Ciceros Caderneta Clássica 14x21 Verde Oliva,CLASSICA,Lançamento,615
7899866827219,7219,Caderno Organizador Clássica Pautado & Pontado A5 Verde Oliva,CLASSICA,Lançamento,1095
7899866823907,3907,Caderno Organizador Kraft Pautado & Pontado 17x24 Linha e Ponto,KRAFT,Ativo,1040
7899866824034,4034,Caderno Organizador Melissa Pautado & Pontado A5 Colméia,MELISSA,Ativo,2460
7899866824003,4003,Caderno Organizador Melissa Pautado & Pontado 17x24 Favo de Abelhas,MELISSA,Ativo,2295
7899866827226,7226,Caderno Organizador Melissa Pautado & Pontado A5 Casa das Abelhas Lilás,MELISSA,Lançamento,1625
7899866827233,7233,Caderno Organizador Melissa Pautado & Pontado 17x24 Casa das Abelhas Rosê,MELISSA,Lançamento,1665
7899866827240,7240,Caderno Organizador Pólen Pautado & Pontado A5 Aromas Amarelo,POLEN,Lançamento,1460
7899866827257,7257,Caderno Organizador Pólen Pautado & Pontado 17x24 Aromas Azul,POLEN,Lançamento,1390
7899866808836,8836,Caderno Wire-o Kraft Pontado 14x21 Kraft,KRAFT,Ativo,7145
7899866827264,7264,Calendário de Mesa 13x15 Ciceros 2025 Bossa Nova,BOSSA NOVA,Lançamento,3381
7899866827271,7271,Calendario de Mesa 13x15 Ciceros 2025 Pólen,POLEN,Lançamento,3485
7899866827288,7288,Calendario de Mesa 20x15 Ciceros 2025 Ateliê,ATELIE,Lançamento,2995
7899866827295,7295,Calendario de Mesa 20x15 Ciceros 2025 Bossa Nova,BOSSA NOVA,Lançamento,2650
7899866827301,7301,"Calendario de Mesa 9,5x13 Ciceros 2025 Kraft",KRAFT,Lançamento,2920
7899866827318,7318,Calendario de Parede A3 Ciceros 2025 Astral,ASTRAL,Lançamento,2340
